Song Title,Artist,Genre,Profanity Lines,Sentiment Annotation (Natalie),Sentiment Annotation (Pragati)
walkoflife,direstraits,pop,"yeah he do the walk of life 
here comes johnny and HELL tell you the story 
hand me down my walkin shoes ",0,0
holdmecloser,eltonjohn,pop,"when chances breathe between the silence 
when SEX and love no longer gel 
oh ",2,0
aboutdamntime,lizzo,pop,"anyway 
its bad BITCH oclock yeah its thickthirty 
ive been through a lot but im still flirty okay ",1,1
aboutdamntime,lizzo,pop,"oh im not the girl i was or used to be uh 
BITCH i might be better 
turn up the music turn down the lights ",1,1
aboutdamntime,lizzo,pop,"okay okay alright 
its about DAMN time time 
turn up the music lets celebrate alright ",1,1
aboutdamntime,lizzo,pop,"okay okay alright 
its about DAMN time 
in a minute ima need a sentimental ",1,1
aboutdamntime,lizzo,pop,"tryna bring out the fabulous 
cause i give a FUCK way too much 
ima need like two shots in my cup ",2,2
aboutdamntime,lizzo,pop,"oh im not the girl i was or used to be uh 
BITCH i might be better 
turn up the music turn down the lights ",1,1
aboutdamntime,lizzo,pop,"okay okay alright 
its about DAMN time time 
turn up the music lets celebrate alright ",1,1
aboutdamntime,lizzo,pop,"okay okay alright 
its about DAMN time 
bitch ",1,1
aboutdamntime,lizzo,pop,"its about damn time 
BITCH 
cause uh you know what time it is uh ",1,1
aboutdamntime,lizzo,pop,"okay okay alright alright 
its about DAMN time 
im comin out tonight lets go im comin out tonight comin out tonight ",1,1
aboutdamntime,lizzo,pop,"okay okay alright 
its about DAMN time oh 
bitch ",1,1
aboutdamntime,lizzo,pop,"its about damn time oh 
BITCH 
yeah yeah ",1,1
aboutdamntime,lizzo,pop,"yeah yeah 
its about DAMN time
",1,1
greedy,tatemcrae,pop,"baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",0,0
greedy,tatemcrae,pop,"baby dont get greedy 
that SHIT wont end well 
no it wont end well ",3,3
greedy,tatemcrae,pop,"baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",0,0
greedy,tatemcrae,pop,"baby dont get greedy 
that SHIT wont end well 
no it wont end well ",3,3
greedy,tatemcrae,pop,"baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",0,0
greedy,tatemcrae,pop,"baby dont get greedy 
that SHIT wont end well 
no it wont end well ",3,3
dancethenight,dualipa,pop,"cause every romance shakes and it bends 
dont give a DAMN 
when the nights here i dont do tears ",2,2
dancethenight,dualipa,pop,"cause every romance shakes and it bends 
dont give a DAMN 
when the nights here i dont do tears ",2,2
heartofglass,blondie,pop,"once i had a love and it was a gas 
 album version  soon turned out to be a pain in the ASS 
 radio version  soon turned out i had a heart of glass  ",3,3
singlesoon,selenagomez,pop,"ill be single soon 
i know HELL be a mess 
when i break the news ",0,0
singlesoon,selenagomez,pop,"ill be single soon 
i know HELL be a mess 
when i break the news ",0,0
singlesoon,selenagomez,pop,"ill be single soon 
i know HELL be a mess 
when i break the news ",0,0
yesand,arianagrande,pop,"yes and 
say that SHIT with your chest and 
be your own fuckin best friend ",2,2
yesand,arianagrande,pop,"say that shit with your chest and 
be your own FUCKIN best friend 
say that shit with your chest ",2,2
yesand,arianagrande,pop,"be your own fuckin best friend 
say that SHIT with your chest 
keep moving like whats next ",2,2
yesand,arianagrande,pop,"yes and 
say that SHIT with your chest and 
be your own fuckin best friend ",2,2
yesand,arianagrande,pop,"say that shit with your chest and 
be your own FUCKIN best friend 
say that shit with your chest ",2,2
yesand,arianagrande,pop,"be your own fuckin best friend 
say that SHIT with your chest 
keep moving like whats next ",2,2
yesand,arianagrande,pop,"yes and yes and  
say that SHIT with your chest and say that SHIT with your chest 
be your own fuckin best friend be your own be your own ",2,2
yesand,arianagrande,pop,"say that shit with your chest and say that shit with your chest 
be your own FUCKIN best friend be your own be your own 
say that shit with your chest say that shit ",2,2
yesand,arianagrande,pop,"be your own fuckin best friend be your own be your own 
say that SHIT with your chest say that SHIT 
keep moving like whats next with your chest now baby ",2,2
yesand,arianagrande,pop,"yes and hoo 
say that SHIT with your chest and hoo 
be your own fuckin best friend be your own ",2,2
yesand,arianagrande,pop,"say that shit with your chest and hoo 
be your own FUCKIN best friend be your own 
say that shit with your chest ",2,2
yesand,arianagrande,pop,"be your own fuckin best friend be your own 
say that SHIT with your chest 
keep moving like whats next ",2,2
feather,sabrinacarpenter,pop,"your signals are mixed 
you act like a BITCH 
you fit every stereotype send a pic ",3,3
feather,sabrinacarpenter,pop,"your signals are mixed 
you act like a BITCH a BITCH 
you fit every stereotype send a pic ",3,3
vampire,oliviarodrigo,pop,"bloodsucker famefucker 
bleeding me dry like a GODDAMN vampire 
every girl i ever talked to told me you were bad bad news ",3,3
vampire,oliviarodrigo,pop,"how do you lie without flinching how do you lie how do you lie how do you lie 
oh what a mesmerizing paralyzing FUCKED up little thrill 
cant figure out just how you do it and god knows i never will ",3,3
vampire,oliviarodrigo,pop,"bloodsucker famefucker 
bleeding me dry like a GODDAMN vampire 
you said it was true love ",3,3
vampire,oliviarodrigo,pop,"bloodsucker famefucker 
bleeding me dry like a GODDAMN vampire
",3,3
uptownfunk,markronson,pop,"gotta kiss myself im so pretty 
im too hot hot DAMN 
call the police and the fireman ",1,1
uptownfunk,markronson,pop,"call the police and the fireman 
im too hot hot DAMN 
make a dragon wanna retire man ",1,1
uptownfunk,markronson,pop,"make a dragon wanna retire man 
im too hot hot DAMN 
say my name you know who i am ",2,1
uptownfunk,markronson,pop,"say my name you know who i am 
im too hot hot DAMN 
and my band bout that money ",2,1
uptownfunk,markronson,pop,"smoother than a fresh jar of skippy 
im too hot hot DAMN 
call the police and the fireman ",2,1
uptownfunk,markronson,pop,"call the police and the fireman 
im too hot hot DAMN 
make a dragon wanna retire man ",2,1
uptownfunk,markronson,pop,"make a dragon wanna retire man 
im too hot hot DAMN hot DAMN 
bitch say my name you know who i am ",2,1
uptownfunk,markronson,pop,"im too hot hot damn hot damn 
BITCH say my name you know who i am 
im too hot hot damn ",2,2
uptownfunk,markronson,pop,"bitch say my name you know who i am 
im too hot hot DAMN 
and my band bout that money ",2,1
daylight,davidkushner,pop,"tryna wash away all the blood ive spilt 
this LUST is a burden that we both share 
two sinners cant atone from a lone prayer ",2,0
stay,kidlaroi,pop,"i feel like you cant feel the way i feel 
oh ill be FUCKED up if you cant be right here 
oh oohwhoa oh oohwhoa oohwhoa ",3,3
stay,kidlaroi,pop,"oh oohwhoa oh oohwhoa oohwhoa 
oh ill be FUCKED up if you cant be right here 
i do the same thing i told you that i never would ",3,3
stay,kidlaroi,pop,"its been difficult for me to trust ooh 
and im afraid that ima FUCK it up 
aint no way that i can leave you stranded ",2,3
stay,kidlaroi,pop,"oh oohwhoa oh oohwhoa oohwhoa 
ill be FUCKED up if you cant be right here 
i do the same thing i told you that i never would ",3,3
pleasepleaseplease,sabrinacarpenter,pop,"heartbreak is one thing my egos another 
i beg you dont embarrass me MOTHERFUCKER oh 
please please please ah ",3,3
pleasepleaseplease,sabrinacarpenter,pop,"heartbreak is one thing heartbreak is one thing my egos another egos another 
i beg you dont embarrass me MOTHERFUCKER oh 
please please please ah ",3,3
illusion,dualipa,pop,"dance all night dance dance 
was a time when that SHIT might have worked 
was a time when i just threw a match and let it burn ",2,2
water,tyla,pop,"if i give you my time 
can you SNATCH my soul from me 
i dont wanna wait come take it ",2,0
water,tyla,pop,"if i give you my time 
can you SNATCH my soul from me 
i dont wanna wait come take it ",2,0
rollinginthedeep,adele,pop," clean version  go head and sell me out and ill lay your ship bare 
 explicit version  go head and sell me out and ill lay your SHIT bare 
see how i leave with every piece of you ",3,3
antihero,taylorswift,pop,"the family gathers round and reads it and then someone screams out 
shes laughing up at us from HELL 
its me hi ",0,0
belongtogether,markambor,pop,"but maybe i should get some rest 
cause ive been out here working all DAMN day 
blueberries and butterflies ",2,2
murderonthedancefloor,sophieellisbextor,pop,"but you better not kill the groove dj 
gonna burn this GODDAMN house right down 
i know i know i know i know i know ",2,2
murderonthedancefloor,sophieellisbextor,pop,"but you better not steal the moves dj 
gonna burn this GODDAMN house right down 
i know i know i know i know i know ",2,2
murderonthedancefloor,sophieellisbextor,pop,"but you better not steal the moves dj 
gonna burn this GODDAMN house right down 
dont think youll get away i will prove you wrong ",2,2
murderonthedancefloor,sophieellisbextor,pop,"but you better not steal the moves dj 
gonna burn this GODDAMN house right down 
its murder on the dancefloor ",2,2
murderonthedancefloor,sophieellisbextor,pop,"but you better not steal the moves dj 
gonna burn this GODDAMN house right down 
its murder on the dancefloor ",2,2
moneyfornothing,direstraits,pop,"we got to move these colour tvs 
see the little FAGGOT with the earring and the makeup 
yeah buddy thats his own hair ",3,3
moneyfornothing,direstraits,pop,"yeah buddy thats his own hair 
that little FAGGOT got his own jet airplane 
that little faggot hes a millionaire ",3,3
moneyfornothing,direstraits,pop,"that little faggot got his own jet airplane 
that little FAGGOT hes a millionaire 
we got to install microwave ovens ",3,3
chemical,postmalone,pop,"last time was the last time too 
its FUCKED up i know but im still 
outside of the party smoking in the car with you ",2,2
chemical,postmalone,pop,"every time im ready to make a change 
you turn around and FUCK out all my brains 
i aint tryna fight fate its too late to save face ",2,2
chemical,postmalone,pop,"last time was the last time too 
its FUCKED up i know but im still 
standing outside of the party smoking in the car with you ",2,2
espresso,sabrinacarpenter,pop,"to desperation 
my give a FUCKS are on vacation 
and i got this one boy ",2,2
espresso,sabrinacarpenter,pop,"thats that me espresso 
holy SHIT 
is it that sweet i guess so ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
i love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
you love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
give me all that SHIT 
cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
i love that SHIT 
you know i cant get enough ",2,2
cantgetenough,jenniferlopez,pop,"you know i cant get enough 
you love that SHIT 
you know i cant get enough ",2,2
