"Song Title","Artist","Genre","Profanity Lines","Sentiment Annotation"
"walkoflife","direstraits","pop","yeah he do the walk of life 
here comes johnny and HELL tell you the story 
hand me down my walkin shoes ",""
"holdmecloser","eltonjohn","pop","when chances breathe between the silence 
when SEX and love no longer gel 
oh ",""
"aboutdamntime","lizzo","pop","anyway 
its bad BITCH oclock yeah its thickthirty 
ive been through a lot but im still flirty okay ",""
"aboutdamntime","lizzo","pop","oh im not the girl i was or used to be uh 
BITCH i might be better 
turn up the music turn down the lights ",""
"aboutdamntime","lizzo","pop","okay okay alright 
its about DAMN time time 
turn up the music lets celebrate alright ",""
"aboutdamntime","lizzo","pop","okay okay alright 
its about DAMN time 
in a minute ima need a sentimental ",""
"aboutdamntime","lizzo","pop","tryna bring out the fabulous 
cause i give a FUCK way too much 
ima need like two shots in my cup ",""
"aboutdamntime","lizzo","pop","oh im not the girl i was or used to be uh 
BITCH i might be better 
turn up the music turn down the lights ",""
"aboutdamntime","lizzo","pop","okay okay alright 
its about DAMN time time 
turn up the music lets celebrate alright ",""
"aboutdamntime","lizzo","pop","okay okay alright 
its about DAMN time 
bitch ",""
"aboutdamntime","lizzo","pop","its about damn time 
BITCH 
cause uh you know what time it is uh ",""
"aboutdamntime","lizzo","pop","okay okay alright alright 
its about DAMN time 
im comin out tonight lets go im comin out tonight comin out tonight ",""
"aboutdamntime","lizzo","pop","okay okay alright 
its about DAMN time oh 
bitch ",""
"aboutdamntime","lizzo","pop","its about damn time oh 
BITCH 
yeah yeah ",""
"aboutdamntime","lizzo","pop","yeah yeah 
its about DAMN time
",""
"greedy","tatemcrae","pop","baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",""
"greedy","tatemcrae","pop","baby dont get greedy 
that SHIT wont end well 
no it wont end well ",""
"greedy","tatemcrae","pop","baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",""
"greedy","tatemcrae","pop","baby dont get greedy 
that SHIT wont end well 
no it wont end well ",""
"greedy","tatemcrae","pop","baby please believe me 
ill put you through HELL 
just to know me yeahyeah ",""
